5G0E3559,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5
928 records,MPS-2 Water Potential/Temp,MPS-2 Water Potential/Temp,MPS-6 Water Potential/Temp,MPS-6 Water Potential/Temp,SRS-Nr NDVI Field Stop,SRS-Nr NDVI Field Stop,SRS-Nr NDVI Field Stop,GS3 Moisture/Temp/EC,GS3 Moisture/Temp/EC,GS3 Moisture/Temp/EC,SRS-Ni NDVI Hemispherical,SRS-Ni NDVI Hemispherical,SRS-Ni NDVI Hemispherical
Measurement Time,kPa Potential,øC Temp,kPa Potential,øC Temp,630 nm,800 nm,NDVI,m?/m? VWC,øC Temp,dS/m EC Bulk,630 nm,800 nm,à for NDVI
9/4/14 18:00,-340.6,26.6,-387.5,22.4,0.0226,0.0345,0.353,0.031,27.8,0.011,0.6660,0.4830,1.379
9/5/14 0:00,-565.8,23.7,-480.4,21.8,0.0029,0.0045,0.316,0.026,23.1,0.011,0.0730,0.0580,1.259
9/5/14 6:00,-962.6,19.1,-630.1,21.8,0.0000,0.0000,,0.023,17.7,0.011,0.0000,0.0000,
9/5/14 12:00,-1231.2,17.7,-760.5,21.5,0.0143,0.0203,0.317,0.022,17.0,0.011,0.3370,0.2510,1.343
9/5/14 18:00,-948.5,24.1,-894.6,21.1,0.0273,0.0385,0.331,0.022,26.7,0.010,0.8180,0.5830,1.403
9/6/14 0:00,-1085.0,23.4,-1010.0,21.1,0.0022,0.0033,0.310,0.020,23.3,0.009,0.0510,0.0400,1.275
9/6/14 6:00,-1570.5,19.3,-1120.8,21.3,0.0000,0.0000,,0.018,18.2,0.009,0.0000,0.0000,
9/6/14 12:00,-1803.1,18.5,-1254.9,21.2,0.0197,0.0280,0.317,0.018,18.3,0.009,0.4950,0.3680,1.345
9/6/14 18:00,-1248.6,24.0,-1395.5,20.9,0.0178,0.0260,0.340,0.020,25.7,0.009,0.6580,0.4720,1.394
9/7/14 0:00,-1791.1,20.1,-1523.1,20.9,0.0010,0.0016,0.298,0.016,19.0,0.017,0.0320,0.0270,1.185
9/7/14 6:00,-2543.5,16.1,-1650.9,21.0,0.0000,0.0000,,0.016,14.4,0.020,0.0000,0.0000,
9/7/14 12:00,-2517.8,16.0,-1821.5,20.7,0.0207,0.0303,0.322,0.018,15.6,0.018,0.4650,0.3480,1.336
9/7/14 18:00,-1023.8,25.9,-2032.0,20.3,0.0294,0.0416,0.325,0.022,28.6,0.013,0.8690,0.6220,1.397
9/8/14 0:00,-1054.9,23.7,-2174.8,20.4,0.0022,0.0033,0.300,0.024,23.5,0.017,0.0510,0.0420,1.214
9/8/14 6:00,-1693.7,18.4,-2198.0,20.7,0.0000,0.0000,,0.031,16.9,0.031,0.0000,0.0000,
9/8/14 12:00,-1900.8,17.5,-2280.5,20.7,0.0111,0.0155,0.316,0.033,17.2,0.037,0.3530,0.2560,1.379
9/8/14 16:00,-1055.9,23.1,-2466.8,20.5,0.0197,0.0269,0.316,0.036,24.6,0.033,0.7520,0.5370,1.400
9/8/14 17:00,-918.6,22.8,-2612.3,20.4,0.0059,0.0081,0.304,0.034,22.8,0.030,0.1560,0.1160,1.345
9/8/14 18:00,-953.3,22.1,-2643.8,20.4,0.0079,0.0111,0.312,0.033,21.9,0.031,0.2210,0.1640,1.348
9/8/14 19:00,-976.2,21.6,-2678.1,20.4,0.0044,0.0063,0.307,0.033,21.2,0.031,0.1230,0.0930,1.323
9/8/14 20:00,-1035.9,20.9,-2689.2,20.4,0.0007,0.0010,0.322,0.033,20.4,0.031,0.0210,0.0170,1.235
9/8/14 21:00,-1085.5,20.3,-2702.3,20.4,0.0000,0.0000,,0.031,19.4,0.031,0.0000,0.0000,
9/8/14 22:00,-1140.3,19.6,-2707.9,20.5,0.0000,0.0000,,0.031,18.8,0.031,0.0000,0.0000,
9/8/14 23:00,-1202.1,19.1,-2721.6,20.5,0.0000,0.0000,,0.031,18.4,0.031,0.0000,0.0000,
9/9/14 0:00,-1227.8,18.8,-2730.4,20.5,0.0000,0.0000,,0.031,18.0,0.031,0.0000,0.0000,
9/9/14 1:00,-1250.9,18.4,-2746.8,20.5,0.0000,0.0000,,0.030,17.7,0.030,0.0000,0.0000,
9/9/14 2:00,-1275.9,18.2,-2750.6,20.5,0.0000,0.0000,,0.031,17.4,0.031,0.0000,0.0000,
9/9/14 3:00,-1318.6,17.9,-2762.0,20.5,0.0000,0.0000,,0.029,17.1,0.030,0.0000,0.0000,
9/9/14 4:00,-1380.8,17.6,-2764.6,20.5,0.0000,0.0000,,0.029,16.7,0.030,0.0000,0.0000,
9/9/14 5:00,-1402.3,17.3,-2784.4,20.5,0.0000,0.0000,,0.028,16.6,0.030,0.0000,0.0000,
9/9/14 6:00,-1415.9,17.1,-2799.1,20.5,0.0000,0.0000,,0.028,16.4,0.030,0.0000,0.0000,
9/9/14 7:00,-1431.6,16.9,-2815.3,20.4,0.0000,0.0000,,0.029,16.2,0.030,0.0000,0.0000,
9/9/14 8:00,-1448.9,16.8,-2838.1,20.4,0.0014,0.0022,0.314,0.029,16.1,0.030,0.0360,0.0290,1.241
9/9/14 9:00,-1448.9,16.8,-2851.8,20.4,0.0069,0.0104,0.311,0.031,16.4,0.030,0.1890,0.1490,1.268
9/9/14 10:00,-1412.9,17.3,-2868.3,20.3,0.0114,0.0164,0.313,0.032,17.2,0.030,0.3200,0.2390,1.339
9/9/14 11:00,-1309.9,18.2,-2890.9,20.3,0.0194,0.0275,0.309,0.033,18.7,0.029,0.5110,0.3810,1.341
9/9/14 12:00,-1211.5,19.3,-2914.9,20.2,0.0139,0.0195,0.310,0.035,20.1,0.027,0.3820,0.2810,1.359
9/9/14 13:00,-1169.3,19.7,-2929.7,20.2,0.0113,0.0158,0.308,0.035,20.2,0.025,0.2980,0.2210,1.348
9/9/14 14:00,-1136.1,19.8,-2960.2,20.1,0.0097,0.0131,0.307,0.043,20.1,0.025,0.2580,0.1850,1.395
9/9/14 15:00,-491.8,18.6,-2970.5,20.1,0.0037,0.0054,0.334,0.114,17.9,0.128,0.1640,0.1200,1.367
9/9/14 16:00,-17.6,17.8,-2962.3,20.1,0.0085,0.0139,0.374,0.183,17.7,0.292,0.4640,0.3430,1.353
